Игрок;Тип;Департамент увольнения;Дата увольнения;Причина увольнения;Департамент принятия;Дата принятия;Дней прошло;Запрет до;Был уволен из принимающего департамента до принятия?
Mark_Fantola;Нарушение;LSPD;2026.06.09;выдача предупреждения;LSPD;2026.06.10;1;;Да
Mikhail_Pushnoi;Нарушение;SFPD;2026.06.07;отчислен (игнорирование лектора);SFPD;2026.06.07;0;;Да
Valeriy_Zmizhenko;Нарушение;LVPD;2026.06.08;нумвд;SFPD;2026.06.08;0;;Нет
Emanuel_Gucci;Нарушение;LSPD;2026.06.10;выдача предупреждения;LSPD;2026.06.11;0;;Да
William_Edward;Нарушение;LSPD;2026.06.08;отчислен.;SFPD;2026.06.08;0;;Нет
Sadam_Hussein;Нарушение;SFPD;2026.06.09;отчислен из академии;SFPD;2026.06.09;0;;Да
Ilysha_Monesy;Нарушение;LSPD;2026.06.11;отчислен;FBI;2026.06.11;0;;Нет
Yuudai_Yuu;Нарушение;LSPD;2026.06.11;отчислен;FBI;2026.06.11;0;;Нет
Adam_Campbell;Риск;LSPD;05.06.2026;отчислен с па.;;;;15.06.2026;
Jason_Blake;Риск;LVPD;09.06.2026;выдача предупреждения;;;;19.06.2026;
Yaroslav_Izmailov;Риск;LSPD;09.06.2026;отчислен;;;;19.06.2026;
Kenji_Yamaguti;Риск;LSPD;03.06.2026;нумвд;;;;13.06.2026;
Black_Inside;Риск;LSPD;03.06.2026;нумвд;;;;13.06.2026;
America_Chavez;Риск;LSPD;04.06.2026;отчислен нумвд;;;;14.06.2026;
Stepan_Dubrovsky;Риск;LSPD;04.06.2026;отчислен.;;;;14.06.2026;
Sheridan_Jerde;Риск;LVPD;12.06.2026;нумвд;;;;22.06.2026;
Antonio_Barder;Риск;LSPD;03.06.2026;выдача предупреждения;;;;13.06.2026;
Ramzan_Borz;Риск;SFPD;04.06.2026;отчислен;;;;14.06.2026;
Potap_Semenov;Риск;SFPD;04.06.2026;отчислен.;;;;14.06.2026;
Joe_Flow;Риск;SFPD;03.06.2026;отчислен;;;;13.06.2026;
Nikita_Holtzman;Риск;LVPD;03.06.2026;нумвд;;;;13.06.2026;
Tony_Cassetta;Риск;LVPD;07.06.2026;нумвд;;;;17.06.2026;
Tony_Novsky;Риск;LVPD;06.06.2026;нумвд;;;;16.06.2026;
Molly_Vix;Риск;SFPD;12.06.2026;выдача предупреждения;;;;22.06.2026;
Gonzalo_Lopez;Риск;LSPD;05.06.2026;отчислен.;;;;15.06.2026;
Sir_Soylok;Риск;SFPD;13.06.2026;выдача предупреждения;;;;23.06.2026;
Valeriy_Zmizhenko;Риск;SFPD;12.06.2026;отчислен.;;;;22.06.2026;
Kitsune_Heoz;Риск;LSPD;08.06.2026;отчислен.;;;;18.06.2026;
Soma_Yamaguchi;Риск;LSPD;12.06.2026;выдача предупреждения;;;;22.06.2026;
Matthew_Maxwell;Риск;SFPD;07.06.2026;выдача предупреждения;;;;17.06.2026;
Josue_Montonari;Риск;SFPD;08.06.2026;отчислен из па.;;;;18.06.2026;
Odyssey_Sideris;Риск;LSPD;08.06.2026;выдача предупреждения;;;;18.06.2026;
Diego_Belfort;Риск;LSPD;09.06.2026;выдача предупреждения;;;;19.06.2026;
Jacky_Style;Риск;LVPD;12.06.2026;отчислен.;;;;22.06.2026;
Himaro_Manhattan;Риск;LVPD;13.06.2026;отчислен.;;;;23.06.2026;
sergey_makovetskiy;Риск;LSPD;11.06.2026;выдача предупреждения;;;;21.06.2026;
Dima_Chudinov;Риск;LSPD;12.06.2026;отчислен;;;;22.06.2026;
Steffen_Manhattan;Риск;LVPD;13.06.2026;отчислен.;;;;23.06.2026;
Timur_Testosterone;Риск;LSPD;13.06.2026;выдача предупреждения;;;;23.06.2026;
Jamie_Foxx;Риск;SFPD;13.06.2026;выдача предупреждения;;;;23.06.2026;
